"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Modif entreprise et check transporteur","webkit","Mon Nov 25 18:22:45 CET 2024","skipped","Mon Nov 25 18:22:45 CET 2024","","Entreprise\modifyEntreprise.spec.ts","",""
"","0","Test création de passage sur un site evacuation","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Passage\creationPassageSiteEvacuation.spec.ts","",""
"","107166","Test standard","chromium","Mon Jan 06 00:23:45 CET 2025","broken","Mon Jan 06 00:25:32 CET 2025","","Transporteur\createTransporteur.spec.ts","",""
"","3271","Test création de destination sur un site évacuation","webkit","Fri Nov 22 01:29:51 CET 2024","broken","Fri Nov 22 01:29:54 CET 2024","","Destination\creationDestination.spec.ts","",""
"","100251","Test Ouverture/Fermeture/Archivage de destination","chromium","Mon Jan 06 00:01:55 CET 2025","broken","Mon Jan 06 00:03:35 CET 2025","@smoke","Destination\creationDestination.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","106754","Test création de destination sur un site évacuation","webkit","Thu Dec 12 15:13:04 CET 2024","broken","Thu Dec 12 15:14:51 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","0","Test Ouverture/Fermeture/Archivage de provenance","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","0","Test standard","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\modifyTransporteur.spec.ts","",""
"","100287","Test création de destination sur un site évacuation (selection adresse via maps )","chromium","Mon Jan 06 00:00:14 CET 2025","broken","Mon Jan 06 00:01:54 CET 2025","@smoke","Destination\creationDestination.spec.ts","",""
"","3557","Test création de destination sur un site évacuation (selection adresse via maps )","webkit","Thu Dec 12 15:14:56 CET 2024","failed","Thu Dec 12 15:14:59 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","0","Test création de passage sur un site platform","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Passage\creationPassageSitePlateforme.spec.ts","",""
"","64814","Test Ouverture/Fermeture/Archivage de destination","firefox","Thu Dec 12 15:11:55 CET 2024","passed","Thu Dec 12 15:13:00 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","100209","Test création de passage sur un site reception","chromium","Mon Jan 06 00:11:46 CET 2025","broken","Mon Jan 06 00:13:26 CET 2025","","Passage\creationPassageSiteReception.spec.ts","",""
"","105091","Test standard","chromium","Mon Jan 06 00:27:22 CET 2025","broken","Mon Jan 06 00:29:07 CET 2025","","Transporteur\modifyTransporteur.spec.ts","",""
"","69471","Test Ouverture/Fermeture/Archivage de destination","chromium","Thu Dec 12 14:47:34 CET 2024","passed","Thu Dec 12 14:48:43 CET 2024","","Destination\creationDestination.spec.ts","",""
"","0","Test création de provenance sur un site récèption","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","103905","Test création énergie","chromium","Mon Jan 06 00:05:17 CET 2025","broken","Mon Jan 06 00:07:01 CET 2025","@smoke","Energie\creationEnergie.spec.ts","",""
"","100636","Test Ouverture/Fermeture/Archivage de provenance","chromium","Mon Jan 06 00:22:03 CET 2025","broken","Mon Jan 06 00:23:44 CET 2025","@smoke","Provenance\modificationProvenance.spec.ts","",""
"","3639","Test création de destination sur un site évacuation (selection adresse via maps )","firefox","Fri Nov 22 01:28:32 CET 2024","broken","Fri Nov 22 01:28:36 CET 2024","","Destination\creationDestination.spec.ts","",""
"","26266","Test modification de provenance sur un site récèption","chromium","Tue Dec 10 14:12:34 CET 2024","failed","Tue Dec 10 14:13:01 CET 2024","","Destination\modificationDestination.spec.ts","",""
"","66663","Test création de provenance sur un site récèption","chromium","Thu Dec 12 15:41:15 CET 2024","passed","Thu Dec 12 15:42:22 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","100277","Test création de destination sur un site évacuation","chromium","Sun Jan 05 23:58:32 CET 2025","broken","Mon Jan 06 00:00:13 CET 2025","@smoke","Destination\creationDestination.spec.ts","",""
"","0","Test création de provenance sur un site récèption","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","1","Modif entreprise et check transporteur","firefox","Mon Nov 25 18:22:45 CET 2024","skipped","Mon Nov 25 18:22:45 CET 2024","","Entreprise\modifyEntreprise.spec.ts","",""
"","0","Test modification de provenance sur un site récèption","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","3283","Test Ouverture/Fermeture/Archivage de destination","webkit","Fri Nov 22 01:30:01 CET 2024","broken","Fri Nov 22 01:30:04 CET 2024","","Destination\creationDestination.spec.ts","",""
"","68576","Test création énergie","chromium","Thu Dec 12 14:50:14 CET 2024","passed","Thu Dec 12 14:51:23 CET 2024","","Energie\creationEnergie.spec.ts","",""
"","103886","Test création de passage sur un site evacuation","chromium","Mon Jan 06 00:08:48 CET 2025","broken","Mon Jan 06 00:10:32 CET 2025","","Passage\creationPassageSiteEvacuation.spec.ts","",""
"","100235","Test création de provenance sur un site récèption (selection adresse via maps)","chromium","Mon Jan 06 00:15:13 CET 2025","broken","Mon Jan 06 00:16:54 CET 2025","@smoke","Provenance\creationProvenance.spec.ts","",""
"","3249","Test création de destination sur un site évacuation","firefox","Fri Nov 22 01:28:27 CET 2024","broken","Fri Nov 22 01:28:30 CET 2024","","Destination\creationDestination.spec.ts","",""
"","1","Test Ouverture/Fermeture/Archivage de provenance","chromium","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","100251","Test modification de provenance sur un site récèption (selection adresse via maps)","chromium","Mon Jan 06 00:20:22 CET 2025","broken","Mon Jan 06 00:22:02 CET 2025","@smoke","Provenance\modificationProvenance.spec.ts","",""
"","1","Test avec création entreprise","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
"","2473","Test création de destination sur un site évacuation (selection adresse via maps )","firefox","Thu Dec 12 15:11:50 CET 2024","failed","Thu Dec 12 15:11:53 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","chromium","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","105145","Modif entreprise et check transporteur","chromium","Mon Jan 06 00:07:02 CET 2025","broken","Mon Jan 06 00:08:47 CET 2025","","Entreprise\modifyEntreprise.spec.ts","",""
"","0","Test Ouverture/Fermeture/Archivage de provenance","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","3300","Test Ouverture/Fermeture/Archivage de destination","firefox","Fri Nov 22 01:28:39 CET 2024","broken","Fri Nov 22 01:28:42 CET 2024","","Destination\creationDestination.spec.ts","",""
"","0","Test standard","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","0","Test standard","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
